airport_id,city,state,name
10397,Atlanta,GA,Hartsfield-Jackson Atlanta International Airport
11433,Detroit,MI,Detroit Metropolitan Wayne County Airport
13303,Nashville,TN,Nashville International Airport
14869,Salt Lake City,UT,Salt Lake City International Airport
12478,New York,NY,John F. Kennedy International Airport
14057,Portland,OR,Portland International Airport
15016,St. Louis,MO,St. Louis Lambert International Airport
11193,Cincinnati,OH,Cincinnati/Northern Kentucky International Airport
12892,Los Angeles,CA,Los Angeles International Airport
12266,Houston,TX,George Bush Intercontinental Airport
13930,Chicago,IL,Chicago O'Hare International Airport
11298,Dallas,TX,Dallas/Fort Worth International Airport
14771,San Francisco,CA,San Francisco International Airport
13204,Orlando,FL,Orlando International Airport
14107,Phoenix,AZ,Phoenix Sky Harbor International Airport
