FlightDate,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay,Distance,Cancelled
2025-04-08,B6,10397,13204,58,58,1148,0
2025-08-12,DL,11193,12266,6,26,1364,0
2025-11-19,F9,11298,14771,1,11,349,0
2024-11-15,AS,12892,12266,29,26,225,0
2024-09-18,AS,11193,11298,38,54,384,0
2025-06-25,B6,14107,12892,22,33,399,0
2024-10-19,B6,14869,11433,38,34,1707,0
2025-03-02,AA,14057,10397,-1,0,2826,0
2024-02-20,DL,14107,12478,4,15,2253,0
2024-12-13,F9,12892,14107,52,68,2079,0
2024-04-03,WN,14057,12892,53,53,2969,0
2024-11-23,AS,10397,11433,10,5,2501,1
2024-08-10,AA,14869,12892,33,52,2687,0
2025-10-30,AA,13930,14057,29,24,498,0
2024-02-21,AS,13930,11298,42,41,2396,0
2025-06-13,NK,12266,14869,43,36,1735,0
2025-09-27,F9,12892,10397,82,81,761,0
2024-08-24,DL,10397,12478,42,53,2215,0
2024-05-01,F9,13303,13204,6,20,2954,0
2024-06-01,NK,14057,14869,39,46,1338,0
2024-08-09,UA,13303,10397,54,73,233,0
2025-08-21,AS,14057,13204,10,15,1936,0
2024-07-10,AS,11193,13930,36,43,1921,0
2024-05-12,AS,11433,10397,43,35,941,0
2024-10-06,B6,14107,11298,70,83,234,0
2024-10-15,NK,10397,14057,28,29,1722,0
2025-11-27,AA,12892,14057,51,65,1168,0
2024-09-16,DL,14107,15016,0,9,574,0
2025-05-11,B6,12478,13303,11,16,1992,0
2025-06-10,NK,12478,14107,-2,-2,455,0
2024-12-20,AA,14057,15016,57,71,2919,0
2025-05-26,F9,12266,13204,51,49,2548,0
2024-09-02,DL,11193,14771,-7,-3,1080,0
2025-01-19,WN,15016,10397,0,13,271,0
2025-04-01,WN,12892,14771,18,37,1599,0
2024-06-07,UA,14107,14771,49,67,911,0
2025-01-22,WN,14107,13204,34,39,1459,0
2025-03-16,NK,14771,14107,103,93,373,0
2024-08-23,NK,13303,12266,38,39,763,0
2025-10-21,NK,13303,15016,2,12,2533,0
2024-03-11,AS,13930,15016,0,0,1463,0
2024-03-12,WN,14869,11433,76,95,904,0
2025-10-08,WN,14107,12892,65,69,278,0
2025-08-01,B6,12266,14107,45,47,2629,0
2025-04-02,AS,12266,13930,-3,15,2761,0
2025-05-04,DL,14771,14057,38,48,2589,0
2024-08-04,F9,12892,10397,21,22,1108,0
2024-06-30,NK,11433,12892,-5,-2,2090,0
2025-05-30,DL,15016,11193,2,3,1957,0
2024-11-17,NK,12478,12266,72,66,393,0
2025-08-13,AS,14107,12266,36,31,644,0
2025-03-19,NK,12266,11433,29,21,2198,0
